Mes,Código Material,Venta Neta Kilos
2020-02,1003865,0.0
2020-02,1003866,120.0
2020-02,1003870,0.0
2020-02,1003872,587.5
2020-02,1003874,36.0
2020-02,1003875,1600.0
2020-02,1003883,40.0
2020-02,1003915,24.0
2020-02,1003916,48.0
2020-02,1003930,8.0
2020-02,1003934,12.0
2020-02,1004126,2.0
2020-02,1004132,0.0
2020-02,1004134,50.0
2020-02,1004135,0.0
2020-02,1004137,0.0
2020-02,1004146,180.0
2020-02,1004147,25.0
2020-02,1004150,30.0
2020-02,1004151,0.0
2020-02,1004157,170.0
2020-02,1004158,0.0
2020-02,1004159,680.0
2020-02,1006777,625.0
2020-02,1007270,2.0
2020-02,1007307,25.0
2020-02,1007308,40.0
2020-02,1007309,0.0
2020-02,1007310,0.0
2020-02,1008218,24.0
2020-02,1008505,2400.0
2020-02,1010975,380.0
2020-02,1010976,480.0
2020-02,1011721,625.0
2020-02,1012304,520.0
2020-02,1015577,30.0
2020-02,1015578,0.0
2020-02,1016231,1200.0
2020-02,1017862,240.0
2020-02,1018434,1060.0
2020-02,1018660,0.0
2020-02,1018661,0.0
2020-02,1018662,150.0
2020-02,1019983,10.0
2020-02,1024148,0.0
2020-02,1025298,60.0
2020-02,1025986,8.0
2020-02,1026978,12.0
2020-02,1030868,12744.0
2020-02,1030869,9600.0
2020-02,1030870,3552.0
2020-02,1031806,185.0
2020-02,1032664,0.0
2020-02,1032665,0.0
2020-02,1032673,6.0
2020-02,1032719,0.0
2020-02,1041317,200.0
2020-02,1041591,0.0
2020-02,1041779,20.0
2020-02,1041780,20.0
2020-02,1041782,130.0
2020-02,1042914,0.0
2020-02,3001601,6750.0
2020-02,3002507,5012.5
2020-02,3014380,4000.0
2020-02,3017186,2000.0
2020-02,3017624,4000.0
2020-02,3018813,216.0
2020-02,3019452,55338.0
2020-02,1003831,20.0
2020-02,1003856,200.0
2020-02,1003861,0.0
2020-02,1003863,180.0
2020-02,1003865,20.0
2020-02,1003866,160.0
2020-02,1003872,125.0
2020-02,1003874,45.0
2020-02,1003875,737.5
2020-02,1003883,80.0
2020-02,1003915,37.6
2020-02,1003916,48.0
2020-02,1003930,0.0
2020-02,1003934,12.0
2020-02,1004126,70.0
2020-02,1004132,0.0
2020-02,1004134,30.0
2020-02,1004135,0.0
2020-02,1004146,150.0
2020-02,1004147,80.0
2020-02,1004150,0.0
2020-02,1004157,395.0
2020-02,1004158,0.0
2020-02,1004159,725.0
2020-02,1007270,0.0
2020-02,1007307,82.0
2020-02,1007308,0.0
2020-02,1007309,4.0
2020-02,1007310,110.0
2020-02,1008505,2180.0
2020-02,1010520,180.0
2020-02,1010975,320.0
2020-02,1010976,700.0
2020-02,1012304,1080.0
2020-02,1012308,120.0
2020-02,1015574,0.0
2020-02,1015575,125.0
2020-02,1015577,20.0
2020-02,1015578,0.0
2020-02,1016231,2000.0
2020-02,1017862,400.0
2020-02,1018434,1500.0
2020-02,1018660,0.0
2020-02,1018661,30.0
2020-02,1018662,0.0
2020-02,1019983,0.0
2020-02,1025298,140.0
2020-02,1025986,16.0
2020-02,1026978,32.0
